TIME_STEP, acou_kinetic, dipo_kinetic, short_range, long_range, dipole_E_field, unharmonic, homo_strain, homo_coupling, homo_strain_int, homo_coupling_i, inho_strain, inho_coupling, inho_modulation, total_energy, H_Nose_Poincare
0, 0.000000, 0.175963, 0.142491, -0.178647, 0.000000, 0.130049, 0.017708, -0.035416, 0.000045, -0.000005, 0.016070, -0.032140, 0.000000, 0.236118, 0.000000
1, 0.000000, 0.175054, 0.142483, -0.178640, 0.000000, 0.129930, 0.017707, -0.035413, 0.000045, -0.000005, 0.016058, -0.032116, 0.000000, 0.235102, -0.000006
2, 0.000000, 0.172227, 0.142472, -0.178630, 0.000000, 0.129677, 0.017705, -0.035409, 0.000045, -0.000005, 0.016040, -0.032080, 0.000000, 0.232041, -0.000085
3, 0.000000, 0.167605, 0.142458, -0.178618, 0.000000, 0.129338, 0.017702, -0.035403, 0.000045, -0.000005, 0.016017, -0.032033, 0.000000, 0.227104, -0.000202
4, 0.000000, 0.161401, 0.142438, -0.178604, 0.000000, 0.128973, 0.017697, -0.035394, 0.000045, -0.000005, 0.015989, -0.031978, 0.000000, 0.220561, -0.000303
5, 0.000000, 0.153916, 0.142412, -0.178590, 0.000000, 0.128582, 0.017690, -0.035380, 0.000045, -0.000005, 0.015957, -0.031913, 0.000000, 0.212714, -0.000352
6, 0.000000, 0.145494, 0.142378, -0.178576, 0.000000, 0.128109, 0.017679, -0.035358, 0.000045, -0.000005, 0.015917, -0.031834, 0.000000, 0.203849, -0.000364
7, 0.000000, 0.136456, 0.142332, -0.178563, 0.000000, 0.127485, 0.017663, -0.035326, 0.000045, -0.000005, 0.015867, -0.031735, 0.000000, 0.194221, -0.000394
8, 0.000000, 0.127095, 0.142273, -0.178552, 0.000000, 0.126668, 0.017641, -0.035282, 0.000045, -0.000005, 0.015805, -0.031609, 0.000000, 0.184080, -0.000492
9, 0.000000, 0.117673, 0.142199, -0.178544, 0.000000, 0.125664, 0.017612, -0.035223, 0.000045, -0.000005, 0.015726, -0.031453, 0.000000, 0.173694, -0.000657
10, 0.000000, 0.108416, 0.142108, -0.178541, 0.000000, 0.124515, 0.017574, -0.035148, 0.000045, -0.000005, 0.015632, -0.031264, 0.000000, 0.163331, -0.000842
11, 0.000000, 0.099502, 0.141998, -0.178543, 0.000000, 0.123260, 0.017528, -0.035056, 0.000045, -0.000004, 0.015521, -0.031041, 0.000000, 0.153208, -0.000996
