TIME_STEP, acou_kinetic, dipo_kinetic, short_range, long_range, dipole_E_field, unharmonic, homo_strain, homo_coupling, homo_strain_int, homo_coupling_i, inho_strain, inho_coupling, inho_modulation, total_energy, H_Nose_Poincare
0, 0.000000, 0.000000, 0.079469, -0.000654, 0.000000, 0.146462, 0.017159, -0.034318, 0.000045, -0.000007, 0.020352, -0.040704, 0.000000, 0.187805, 0.000000
1, 0.000000, 0.000698, 0.079447, -0.000839, 0.000000, 0.145871, 0.017128, -0.034255, 0.000045, -0.000007, 0.020286, -0.040573, 0.000000, 0.187801, -0.000006
2, 0.000000, 0.002755, 0.079380, -0.001395, 0.000000, 0.144158, 0.017033, -0.034067, 0.000045, -0.000007, 0.020093, -0.040185, 0.000000, 0.187812, -0.000021
3, 0.000000, 0.006085, 0.079271, -0.002319, 0.000000, 0.141471, 0.016877, -0.033755, 0.000045, -0.000007, 0.019778, -0.039555, 0.000000, 0.187892, -0.000041
4, 0.000000, 0.010603, 0.079121, -0.003608, 0.000000, 0.137984, 0.016662, -0.033323, 0.000045, -0.000006, 0.019351, -0.038703, 0.000000, 0.188125, -0.000060
5, 0.000000, 0.016258, 0.078932, -0.005258, 0.000000, 0.133860, 0.016388, -0.032777, 0.000044, -0.000006, 0.018826, -0.037652, 0.000000, 0.188615, -0.000079
6, 0.000000, 0.023040, 0.078707, -0.007263, 0.000000, 0.129235, 0.016060, -0.032120, 0.000044, -0.000006, 0.018214, -0.036427, 0.000000, 0.189483, -0.000097
7, 0.000000, 0.030976, 0.078448, -0.009614, 0.000000, 0.124222, 0.015680, -0.031359, 0.000043, -0.000005, 0.017527, -0.035054, 0.000000, 0.190863, -0.000112
8, 0.000000, 0.040120, 0.078158, -0.012299, 0.000000, 0.118911, 0.015251, -0.030501, 0.000043, -0.000004, 0.016778, -0.033557, 0.000000, 0.192898, -0.000125
9, 0.000000, 0.050542, 0.077837, -0.015303, 0.000000, 0.113378, 0.014777, -0.029554, 0.000042, -0.000004, 0.015980, -0.031959, 0.000000, 0.195737, -0.000136
10, 0.000000, 0.062317, 0.077488, -0.018605, 0.000000, 0.107688, 0.014262, -0.028525, 0.000042, -0.000003, 0.015143, -0.030285, 0.000000, 0.199522, -0.000144
11, 0.000000, 0.075503, 0.077113, -0.022179, 0.000000, 0.101897, 0.013712, -0.027424, 0.000041, -0.000002, 0.014279, -0.028557, 0.000000, 0.204383, -0.000149
12, 0.000000, 0.090132, 0.076712, -0.025994, 0.000000, 0.096060, 0.013131, -0.026261, 0.000040, -0.000002, 0.013399, -0.026798, 0.000000, 0.210418, -0.000151
13, 0.000000, 0.106178, 0.076285, -0.030009, 0.000000, 0.090227, 0.012524, -0.025048, 0.000040, -0.000001, 0.012515, -0.025030, 0.000000, 0.217681, -0.000149
14, 0.000000, 0.123544, 0.075834, -0.034177, 0.000000, 0.084449, 0.011898, -0.023797, 0.000039, -0.000000, 0.011637, -0.023275, 0.000000, 0.226153, -0.000144
15, 0.000000, 0.142027, 0.075359, -0.038441, 0.000000, 0.078776, 0.011261, -0.022521, 0.000038, 0.000001, 0.010776, -0.021552, 0.000000, 0.235723, -0.000136
16, 0.000000, 0.161301, 0.074860, -0.042738, 0.000000, 0.073258, 0.010618, -0.021235, 0.000037, 0.000001, 0.009941, -0.019882, 0.000000, 0.246160, -0.000124
17, 0.000000, 0.180896, 0.074337, -0.046993, 0.000000, 0.067944, 0.009977, -0.019954, 0.000037, 0.000002, 0.009142, -0.018284, 0.000000, 0.257104, -0.000110
18, 0.000000, 0.200196, 0.073791, -0.051129, 0.000000, 0.062888, 0.009347, -0.018693, 0.000036, 0.000003, 0.008386, -0.016772, 0.000000, 0.268053, -0.000095
19, 0.000000, 0.218453, 0.073222, -0.055062, 0.000000, 0.058143, 0.008733, -0.017466, 0.000035, 0.000004, 0.007681, -0.015363, 0.000000, 0.278380, -0.000078
20, 0.000000, 0.234846, 0.072630, -0.058710, 0.000000, 0.053749, 0.008144, -0.016288, 0.000034, 0.000004, 0.007033, -0.014065, 0.000000, 0.287377, -0.000060
21, 0.000000, 0.248554, 0.072017, -0.061994, 0.000000, 0.049717, 0.007585, -0.015170, 0.000034, 0.000005, 0.006443, -0.012886, 0.000000, 0.294303, -0.000047
22, 0.000000, 0.258802, 0.071382, -0.064844, 0.000000, 0.046083, 0.007061, -0.014123, 0.000033, 0.000005, 0.005915, -0.011830, 0.000000, 0.298485, -0.000035
23, 0.000000, 0.265004, 0.070727, -0.067201, 0.000000, 0.042851, 0.006577, -0.013154, 0.000032, 0.000006, 0.005448, -0.010897, 0.000000, 0.299395, -0.000023
24, 0.000000, 0.266860, 0.070055, -0.069024, 0.000000, 0.039953, 0.006134, -0.012268, 0.000032, 0.000006, 0.005041, -0.010083, 0.000000, 0.296707, -0.000021
25, 0.000000, 0.264281, 0.069367, -0.070293, 0.000000, 0.037412, 0.005734, -0.011467, 0.000031, 0.000006, 0.004692, -0.009384, 0.000000, 0.290378, -0.000025
26, 0.000000, 0.257442, 0.068665, -0.071005, 0.000000, 0.035285, 0.005375, -0.010751, 0.000031, 0.000006, 0.004398, -0.008797, 0.000000, 0.280650, -0.000030
27, 0.000000, 0.246860, 0.067952, -0.071179, 0.000000, 0.033537, 0.005058, -0.010116, 0.000030, 0.000007, 0.004156, -0.008313, 0.000000, 0.267992, -0.000037
28, 0.000000, 0.233280, 0.067231, -0.070850, 0.000000, 0.032094, 0.004780, -0.009559, 0.000030, 0.000007, 0.003961, -0.007921, 0.000000, 0.253052, -0.000049
29, 0.000000, 0.217522, 0.066504, -0.070066, 0.000000, 0.030913, 0.004537, -0.009073, 0.000030, 0.000007, 0.003805, -0.007611, 0.000000, 0.236569, -0.000064
30, 0.000000, 0.200408, 0.065774, -0.068886, 0.000000, 0.029965, 0.004326, -0.008651, 0.000030, 0.000007, 0.003685, -0.007369, 0.000000, 0.219287, -0.000080
31, 0.000000, 0.182707, 0.065043, -0.067375, 0.000000, 0.029211, 0.004143, -0.008287, 0.000029, 0.000007, 0.003593, -0.007185, 0.000000, 0.201886, -0.000097
32, 0.000000, 0.165083, 0.064313, -0.065596, 0.000000, 0.028607, 0.003986, -0.007972, 0.000029, 0.000007, 0.003523, -0.007047, 0.000000, 0.184933, -0.000113
33, 0.000000, 0.148063, 0.063586, -0.063615, 0.000000, 0.028111, 0.003850, -0.007701, 0.000029, 0.000007, 0.003472, -0.006945, 0.000000, 0.168859, -0.000128
34, 0.000000, 0.132027, 0.062863, -0.061490, 0.000000, 0.027689, 0.003733, -0.007466, 0.000029, 0.000007, 0.003435, -0.006870, 0.000000, 0.153957, -0.000141
35, 0.000000, 0.117214, 0.062145, -0.059276, 0.000000, 0.027318, 0.003631, -0.007263, 0.000029, 0.000007, 0.003408, -0.006815, 0.000000, 0.140397, -0.000151
36, 0.000000, 0.103748, 0.061433, -0.057019, 0.000000, 0.026981, 0.003542, -0.007085, 0.000029, 0.000007, 0.003387, -0.006774, 0.000000, 0.128248, -0.000157
37, 0.000000, 0.091667, 0.060728, -0.054761, 0.000000, 0.026667, 0.003464, -0.006929, 0.000029, 0.000007, 0.003371, -0.006742, 0.000000, 0.117501, -0.000161
38, 0.000000, 0.080946, 0.060029, -0.052535, 0.000000, 0.026370, 0.003395, -0.006790, 0.000028, 0.000007, 0.003357, -0.006714, 0.000000, 0.108093, -0.000162
39, 0.000000, 0.071521, 0.059337, -0.050370, 0.000000, 0.026077, 0.003333, -0.006665, 0.000028, 0.000007, 0.003343, -0.006687, 0.000000, 0.099926, -0.000159
40, 0.000000, 0.063305, 0.058653, -0.048286, 0.000000, 0.025781, 0.003276, -0.006552, 0.000028, 0.000007, 0.003329, -0.006657, 0.000000, 0.092884, -0.000155
41, 0.000000, 0.056194, 0.057975, -0.046302, 0.000000, 0.025475, 0.003223, -0.006447, 0.000028, 0.000007, 0.003312, -0.006623, 0.000000, 0.086843, -0.000148
42, 0.000000, 0.050076, 0.057304, -0.044429, 0.000000, 0.025161, 0.003174, -0.006349, 0.000028, 0.000007, 0.003292, -0.006584, 0.000000, 0.081681, -0.000140
43, 0.000000, 0.044843, 0.056638, -0.042679, 0.000000, 0.024842, 0.003128, -0.006256, 0.000028, 0.000007, 0.003270, -0.006540, 0.000000, 0.077282, -0.000131
44, 0.000000, 0.040394, 0.055979, -0.041057, 0.000000, 0.024516, 0.003083, -0.006166, 0.000028, 0.000007, 0.003244, -0.006489, 0.000000, 0.073541, -0.000120
45, 0.000000, 0.036641, 0.055325, -0.039567, 0.000000, 0.024184, 0.003040, -0.006079, 0.000028, 0.000007, 0.003216, -0.006431, 0.000000, 0.070363, -0.000108
46, 0.000000, 0.033503, 0.054675, -0.038211, 0.000000, 0.023843, 0.002997, -0.005994, 0.000028, 0.000007, 0.003183, -0.006367, 0.000000, 0.067665, -0.000095
47, 0.000000, 0.030912, 0.054030, -0.036990, 0.000000, 0.023492, 0.002954, -0.005909, 0.000028, 0.000007, 0.003148, -0.006296, 0.000000, 0.065377, -0.000083
48, 0.000000, 0.028808, 0.053389, -0.035904, 0.000000, 0.023129, 0.002912, -0.005824, 0.000028, 0.000007, 0.003109, -0.006218, 0.000000, 0.063436, -0.000070
49, 0.000000, 0.027140, 0.052752, -0.034950, 0.000000, 0.022753, 0.002869, -0.005738, 0.000028, 0.000007, 0.003067, -0.006134, 0.000000, 0.061793, -0.000059
50, 0.000000, 0.025864, 0.052117, -0.034125, 0.000000, 0.022363, 0.002826, -0.005652, 0.000028, 0.000007, 0.003022, -0.006044, 0.000000, 0.060405, -0.000048
51, 0.000000, 0.024943, 0.051485, -0.033428, 0.000000, 0.021961, 0.002782, -0.005565, 0.000028, 0.000007, 0.002973, -0.005947, 0.000000, 0.059241, -0.000039
52, 0.000000, 0.024347, 0.050855, -0.032854, 0.000000, 0.021549, 0.002738, -0.005476, 0.000028, 0.000007, 0.002922, -0.005845, 0.000000, 0.058272, -0.000031
53, 0.000000, 0.024052, 0.050228, -0.032399, 0.000000, 0.021129, 0.002693, -0.005386, 0.000028, 0.000007, 0.002869, -0.005737, 0.000000, 0.057482, -0.000025
54, 0.000000, 0.024038, 0.049602, -0.032060, 0.000000, 0.020701, 0.002647, -0.005293, 0.000028, 0.000007, 0.002813, -0.005626, 0.000000, 0.056857, -0.000020
55, 0.000000, 0.024294, 0.048979, -0.031830, 0.000000, 0.020268, 0.002600, -0.005200, 0.000027, 0.000007, 0.002755, -0.005510, 0.000000, 0.056390, -0.000017
56, 0.000000, 0.024812, 0.048356, -0.031706, 0.000000, 0.019829, 0.002552, -0.005104, 0.000027, 0.000007, 0.002695, -0.005391, 0.000000, 0.056078, -0.000016
57, 0.000000, 0.025588, 0.047736, -0.031682, 0.000000, 0.019386, 0.002503, -0.005006, 0.000027, 0.000007, 0.002634, -0.005269, 0.000000, 0.055924, -0.000017
58, 0.000000, 0.026623, 0.047117, -0.031753, 0.000000, 0.018940, 0.002454, -0.004907, 0.000027, 0.000007, 0.002572, -0.005144, 0.000000, 0.055935, -0.000020
59, 0.000000, 0.027922, 0.046499, -0.031912, 0.000000, 0.018492, 0.002403, -0.004807, 0.000027, 0.000007, 0.002509, -0.005018, 0.000000, 0.056123, -0.000024
60, 0.000000, 0.029493, 0.045884, -0.032154, 0.000000, 0.018042, 0.002352, -0.004705, 0.000027, 0.000007, 0.002445, -0.004891, 0.000000, 0.056502, -0.000030
61, 0.000000, 0.031348, 0.045271, -0.032471, 0.000000, 0.017591, 0.002301, -0.004602, 0.000027, 0.000007, 0.002381, -0.004762, 0.000000, 0.057092, -0.000037
62, 0.000000, 0.033503, 0.044661, -0.032856, 0.000000, 0.017140, 0.002249, -0.004498, 0.000027, 0.000007, 0.002317, -0.004634, 0.000000, 0.057917, -0.000045
63, 0.000000, 0.035975, 0.044055, -0.033301, 0.000000, 0.016692, 0.002197, -0.004393, 0.000027, 0.000007, 0.002253, -0.004505, 0.000000, 0.059006, -0.000054
64, 0.000000, 0.038786, 0.043452, -0.033798, 0.000000, 0.016247, 0.002144, -0.004288, 0.000027, 0.000007, 0.002189, -0.004379, 0.000000, 0.060388, -0.000064
65, 0.000000, 0.041958, 0.042855, -0.034338, 0.000000, 0.015809, 0.002092, -0.004183, 0.000027, 0.000007, 0.002127, -0.004254, 0.000000, 0.062100, -0.000074
66, 0.000000, 0.045516, 0.042264, -0.034908, 0.000000, 0.015380, 0.002039, -0.004079, 0.000027, 0.000007, 0.002066, -0.004132, 0.000000, 0.064180, -0.000083
