TIME_STEP, acou_kinetic, dipo_kinetic, short_range, long_range, dipole_E_field, unharmonic, homo_strain, homo_coupling, homo_strain_int, homo_coupling_i, inho_strain, inho_coupling, inho_modulation, total_energy, H_Nose_Poincare
0, 0.000000, 0.176630, 0.142874, -0.179159, 0.000000, 0.129568, 0.017746, -0.035492, 0.000022, -0.000032, 0.016084, -0.032168, 0.000000, 0.236073, 0.000000
1, 0.000000, 0.175733, 0.142882, -0.179180, 0.000000, 0.129619, 0.017745, -0.035489, 0.000022, -0.000032, 0.016079, -0.032158, 0.000000, 0.235219, 0.000165
2, 0.000000, 0.172834, 0.142891, -0.179205, 0.000000, 0.129644, 0.017743, -0.035486, 0.000022, -0.000032, 0.016074, -0.032148, 0.000000, 0.232336, 0.000290
3, 0.000000, 0.168096, 0.142898, -0.179230, 0.000000, 0.129584, 0.017741, -0.035481, 0.000022, -0.000032, 0.016067, -0.032134, 0.000000, 0.227530, 0.000341
4, 0.000000, 0.161749, 0.142903, -0.179257, 0.000000, 0.129433, 0.017737, -0.035474, 0.000022, -0.000032, 0.016056, -0.032112, 0.000000, 0.221025, 0.000319
5, 0.000000, 0.154102, 0.142900, -0.179284, 0.000000, 0.129172, 0.017730, -0.035460, 0.000022, -0.000032, 0.016038, -0.032076, 0.000000, 0.213111, 0.000235
6, 0.000000, 0.145523, 0.142888, -0.179312, 0.000000, 0.128747, 0.017719, -0.035439, 0.000022, -0.000032, 0.016010, -0.032020, 0.000000, 0.204107, 0.000100
7, 0.000000, 0.136375, 0.142864, -0.179340, 0.000000, 0.128120, 0.017703, -0.035406, 0.000022, -0.000032, 0.015968, -0.031936, 0.000000, 0.194339, -0.000071
8, 0.000000, 0.126970, 0.142824, -0.179369, 0.000000, 0.127298, 0.017681, -0.035361, 0.000022, -0.000032, 0.015909, -0.031818, 0.000000, 0.184123, -0.000251
9, 0.000000, 0.117552, 0.142768, -0.179400, 0.000000, 0.126316, 0.017650, -0.035301, 0.000022, -0.000032, 0.015832, -0.031665, 0.000000, 0.173744, -0.000410
10, 0.000000, 0.108315, 0.142693, -0.179433, 0.000000, 0.125208, 0.017612, -0.035224, 0.000022, -0.000032, 0.015736, -0.031472, 0.000000, 0.163426, -0.000542
11, 0.000000, 0.099422, 0.142597, -0.179467, 0.000000, 0.123979, 0.017564, -0.035129, 0.000022, -0.000032, 0.015620, -0.031240, 0.000000, 0.153337, -0.000657
12, 0.000000, 0.091006, 0.142480, -0.179504, 0.000000, 0.122617, 0.017507, -0.035015, 0.000022, -0.000032, 0.015484, -0.030968, 0.000000, 0.143598, -0.000774
13, 0.000000, 0.083154, 0.142340, -0.179542, 0.000000, 0.121118, 0.017441, -0.034881, 0.000022, -0.000032, 0.015329, -0.030659, 0.000000, 0.134290, -0.000913
14, 0.000000, 0.075902, 0.142177, -0.179581, 0.000000, 0.119498, 0.017364, -0.034729, 0.000022, -0.000032, 0.015157, -0.030315, 0.000000, 0.125465, -0.001085
15, 0.000000, 0.069254, 0.141993, -0.179622, 0.000000, 0.117791, 0.017278, -0.034557, 0.000022, -0.000031, 0.014970, -0.029940, 0.000000, 0.117158, -0.001294
16, 0.000000, 0.063195, 0.141787, -0.179664, 0.000000, 0.116031, 0.017183, -0.034366, 0.000022, -0.000031, 0.014769, -0.029538, 0.000000, 0.109387, -0.001528
17, 0.000000, 0.057701, 0.141560, -0.179705, 0.000000, 0.114248, 0.017079, -0.034158, 0.000022, -0.000031, 0.014558, -0.029115, 0.000000, 0.102157, -0.001774
18, 0.000000, 0.052747, 0.141314, -0.179747, 0.000000, 0.112457, 0.016967, -0.033933, 0.000021, -0.000031, 0.014337, -0.028675, 0.000000, 0.095458, -0.002022
19, 0.000000, 0.048306, 0.141049, -0.179787, 0.000000, 0.110666, 0.016847, -0.033694, 0.000021, -0.000030, 0.014110, -0.028220, 0.000000, 0.089268, -0.002260
20, 0.000000, 0.044345, 0.140765, -0.179826, 0.000000, 0.108881, 0.016720, -0.033440, 0.000021, -0.000030, 0.013877, -0.027755, 0.000000, 0.083559, -0.002478
21, 0.000000, 0.040825, 0.140466, -0.179862, 0.000000, 0.107107, 0.016586, -0.033173, 0.000021, -0.000030, 0.013641, -0.027282, 0.000000, 0.078300, -0.002668
22, 0.000000, 0.037705, 0.140150, -0.179894, 0.000000, 0.105349, 0.016447, -0.032895, 0.000021, -0.000030, 0.013402, -0.026804, 0.000000, 0.073453, -0.002827
23, 0.000000, 0.034942, 0.139821, -0.179923, 0.000000, 0.103614, 0.016303, -0.032606, 0.000021, -0.000029, 0.013162, -0.026324, 0.000000, 0.068980, -0.002955
24, 0.000000, 0.032496, 0.139478, -0.179947, 0.000000, 0.101905, 0.016154, -0.032308, 0.000020, -0.000029, 0.012922, -0.025844, 0.000000, 0.064847, -0.003057
25, 0.000000, 0.030328, 0.139123, -0.179966, 0.000000, 0.100223, 0.016001, -0.032002, 0.000020, -0.000029, 0.012682, -0.025365, 0.000000, 0.061017, -0.003141
26, 0.000000, 0.028408, 0.138758, -0.179979, 0.000000, 0.098570, 0.015845, -0.031690, 0.000020, -0.000028, 0.012444, -0.024889, 0.000000, 0.057459, -0.003213
27, 0.000000, 0.026704, 0.138382, -0.179986, 0.000000, 0.096946, 0.015686, -0.031372, 0.000020, -0.000028, 0.012209, -0.024417, 0.000000, 0.054145, -0.003278
28, 0.000000, 0.025193, 0.137998, -0.179985, 0.000000, 0.095353, 0.015524, -0.031049, 0.000020, -0.000028, 0.011975, -0.023950, 0.000000, 0.051051, -0.003341
29, 0.000000, 0.023850, 0.137606, -0.179978, 0.000000, 0.093790, 0.015361, -0.030722, 0.000019, -0.000027, 0.011745, -0.023490, 0.000000, 0.048153, -0.003402
30, 0.000000, 0.022656, 0.137206, -0.179963, 0.000000, 0.092257, 0.015196, -0.030393, 0.000019, -0.000027, 0.011518, -0.023036, 0.000000, 0.045435, -0.003463
31, 0.000000, 0.021595, 0.136800, -0.179939, 0.000000, 0.090754, 0.015030, -0.030061, 0.000019, -0.000027, 0.011294, -0.022589, 0.000000, 0.042878, -0.003520
32, 0.000000, 0.020650, 0.136389, -0.179907, 0.000000, 0.089282, 0.014864, -0.029728, 0.000019, -0.000026, 0.011075, -0.022149, 0.000000, 0.040467, -0.003573
33, 0.000000, 0.019809, 0.135972, -0.179867, 0.000000, 0.087839, 0.014697, -0.029394, 0.000019, -0.000026, 0.010859, -0.021718, 0.000000, 0.038190, -0.003620
34, 0.000000, 0.019059, 0.135551, -0.179817, 0.000000, 0.086426, 0.014530, -0.029059, 0.000018, -0.000026, 0.010648, -0.021295, 0.000000, 0.036034, -0.003661
35, 0.000000, 0.018390, 0.135126, -0.179758, 0.000000, 0.085041, 0.014363, -0.028726, 0.000018, -0.000025, 0.010440, -0.020881, 0.000000, 0.033989, -0.003695
36, 0.000000, 0.017792, 0.134698, -0.179689, 0.000000, 0.083684, 0.014196, -0.028393, 0.000018, -0.000025, 0.010237, -0.020475, 0.000000, 0.032044, -0.003722
37, 0.000000, 0.017258, 0.134266, -0.179611, 0.000000, 0.082354, 0.014031, -0.028061, 0.000018, -0.000025, 0.010039, -0.020077, 0.000000, 0.030192, -0.003744
38, 0.000000, 0.016778, 0.133833, -0.179522, 0.000000, 0.081052, 0.013866, -0.027731, 0.000018, -0.000024, 0.009844, -0.019689, 0.000000, 0.028424, -0.003762
39, 0.000000, 0.016348, 0.133397, -0.179424, 0.000000, 0.079777, 0.013702, -0.027403, 0.000017, -0.000024, 0.009654, -0.019309, 0.000000, 0.026734, -0.003775
40, 0.000000, 0.015960, 0.132959, -0.179317, 0.000000, 0.078528, 0.013539, -0.027078, 0.000017, -0.000023, 0.009469, -0.018938, 0.000000, 0.025117, -0.003785
41, 0.000000, 0.015611, 0.132520, -0.179199, 0.000000, 0.077306, 0.013378, -0.026755, 0.000017, -0.000023, 0.009288, -0.018576, 0.000000, 0.023566, -0.003793
42, 0.000000, 0.015295, 0.132080, -0.179071, 0.000000, 0.076110, 0.013218, -0.026436, 0.000017, -0.000023, 0.009111, -0.018222, 0.000000, 0.022079, -0.003799
43, 0.000000, 0.015009, 0.131640, -0.178934, 0.000000, 0.074939, 0.013060, -0.026119, 0.000017, -0.000022, 0.008939, -0.017878, 0.000000, 0.020649, -0.003803
44, 0.000000, 0.014750, 0.131198, -0.178787, 0.000000, 0.073794, 0.012903, -0.025806, 0.000017, -0.000022, 0.008771, -0.017542, 0.000000, 0.019275, -0.003806
