TIME_STEP, acou_kinetic, dipo_kinetic, short_range, long_range, dipole_E_field, unharmonic, homo_strain, homo_coupling, homo_strain_int, homo_coupling_i, inho_strain, inho_coupling, inho_modulation, total_energy, H_Nose_Poincare
0, 0.000000, 0.174548, 0.142847, -0.178743, 0.000000, 0.128847, 0.017683, -0.035367, 0.000118, 0.000032, 0.015997, -0.031995, 0.000000, 0.233968, 0.000000
1, 0.000000, 0.173569, 0.142870, -0.178769, 0.000000, 0.128908, 0.017685, -0.035371, 0.000118, 0.000032, 0.015997, -0.031995, 0.000000, 0.233045, 0.000068
2, 0.000000, 0.170697, 0.142890, -0.178793, 0.000000, 0.128896, 0.017687, -0.035374, 0.000118, 0.000032, 0.015994, -0.031988, 0.000000, 0.230158, 0.000106
3, 0.000000, 0.166066, 0.142904, -0.178816, 0.000000, 0.128800, 0.017687, -0.035374, 0.000118, 0.000032, 0.015985, -0.031970, 0.000000, 0.225433, 0.000103
4, 0.000000, 0.159901, 0.142912, -0.178837, 0.000000, 0.128624, 0.017686, -0.035372, 0.000118, 0.000032, 0.015969, -0.031938, 0.000000, 0.219094, 0.000074
5, 0.000000, 0.152503, 0.142910, -0.178858, 0.000000, 0.128338, 0.017681, -0.035363, 0.000118, 0.000032, 0.015945, -0.031889, 0.000000, 0.211416, 0.000027
6, 0.000000, 0.144207, 0.142897, -0.178878, 0.000000, 0.127900, 0.017673, -0.035345, 0.000118, 0.000032, 0.015909, -0.031818, 0.000000, 0.202693, -0.000037
7, 0.000000, 0.135334, 0.142869, -0.178897, 0.000000, 0.127283, 0.017659, -0.035317, 0.000118, 0.000032, 0.015861, -0.031722, 0.000000, 0.193219, -0.000120
8, 0.000000, 0.126169, 0.142825, -0.178917, 0.000000, 0.126482, 0.017638, -0.035276, 0.000118, 0.000032, 0.015798, -0.031595, 0.000000, 0.183274, -0.000228
9, 0.000000, 0.116961, 0.142764, -0.178938, 0.000000, 0.125505, 0.017610, -0.035220, 0.000118, 0.000032, 0.015718, -0.031436, 0.000000, 0.173114, -0.000358
10, 0.000000, 0.107909, 0.142684, -0.178961, 0.000000, 0.124384, 0.017573, -0.035146, 0.000118, 0.000032, 0.015622, -0.031244, 0.000000, 0.162970, -0.000495
11, 0.000000, 0.099160, 0.142583, -0.178988, 0.000000, 0.123151, 0.017528, -0.035055, 0.000118, 0.000032, 0.015509, -0.031017, 0.000000, 0.153020, -0.000634
12, 0.000000, 0.090833, 0.142462, -0.179017, 0.000000, 0.121816, 0.017473, -0.034945, 0.000118, 0.000032, 0.015378, -0.030756, 0.000000, 0.143393, -0.000789
13, 0.000000, 0.083019, 0.142320, -0.179050, 0.000000, 0.120376, 0.017408, -0.034816, 0.000118, 0.000032, 0.015230, -0.030460, 0.000000, 0.134177, -0.000975
14, 0.000000, 0.075780, 0.142156, -0.179086, 0.000000, 0.118839, 0.017334, -0.034668, 0.000117, 0.000032, 0.015066, -0.030131, 0.000000, 0.125439, -0.001190
15, 0.000000, 0.069147, 0.141971, -0.179125, 0.000000, 0.117221, 0.017250, -0.034500, 0.000117, 0.000032, 0.014886, -0.029772, 0.000000, 0.117227, -0.001412
16, 0.000000, 0.063123, 0.141765, -0.179165, 0.000000, 0.115543, 0.017157, -0.034313, 0.000117, 0.000032, 0.014694, -0.029387, 0.000000, 0.109565, -0.001621
17, 0.000000, 0.057690, 0.141539, -0.179207, 0.000000, 0.113826, 0.017055, -0.034109, 0.000117, 0.000032, 0.014490, -0.028980, 0.000000, 0.102452, -0.001804
18, 0.000000, 0.052811, 0.141293, -0.179250, 0.000000, 0.112084, 0.016944, -0.033889, 0.000117, 0.000032, 0.014277, -0.028555, 0.000000, 0.095866, -0.001960
19, 0.000000, 0.048443, 0.141029, -0.179292, 0.000000, 0.110334, 0.016826, -0.033652, 0.000117, 0.000032, 0.014058, -0.028115, 0.000000, 0.089779, -0.002092
20, 0.000000, 0.044541, 0.140748, -0.179334, 0.000000, 0.108586, 0.016701, -0.033401, 0.000117, 0.000032, 0.013832, -0.027665, 0.000000, 0.084157, -0.002204
21, 0.000000, 0.041061, 0.140450, -0.179373, 0.000000, 0.106850, 0.016569, -0.033137, 0.000117, 0.000032, 0.013603, -0.027206, 0.000000, 0.078964, -0.002301
22, 0.000000, 0.037962, 0.140136, -0.179410, 0.000000, 0.105131, 0.016431, -0.032862, 0.000116, 0.000032, 0.013371, -0.026743, 0.000000, 0.074166, -0.002384
23, 0.000000, 0.035204, 0.139808, -0.179442, 0.000000, 0.103435, 0.016288, -0.032575, 0.000116, 0.000032, 0.013138, -0.026276, 0.000000, 0.069728, -0.002456
24, 0.000000, 0.032754, 0.139467, -0.179470, 0.000000, 0.101763, 0.016140, -0.032279, 0.000116, 0.000032, 0.012904, -0.025808, 0.000000, 0.065617, -0.002518
25, 0.000000, 0.030579, 0.139113, -0.179493, 0.000000, 0.100116, 0.015988, -0.031975, 0.000116, 0.000032, 0.012670, -0.025340, 0.000000, 0.061805, -0.002570
26, 0.000000, 0.028650, 0.138748, -0.179510, 0.000000, 0.098495, 0.015832, -0.031664, 0.000116, 0.000032, 0.012437, -0.024874, 0.000000, 0.058262, -0.002612
27, 0.000000, 0.026940, 0.138373, -0.179520, 0.000000, 0.096900, 0.015673, -0.031347, 0.000116, 0.000032, 0.012206, -0.024411, 0.000000, 0.054962, -0.002643
28, 0.000000, 0.025425, 0.137989, -0.179523, 0.000000, 0.095331, 0.015512, -0.031024, 0.000115, 0.000032, 0.011976, -0.023952, 0.000000, 0.051881, -0.002666
29, 0.000000, 0.024083, 0.137595, -0.179518, 0.000000, 0.093787, 0.015349, -0.030698, 0.000115, 0.000032, 0.011748, -0.023497, 0.000000, 0.048998, -0.002680
30, 0.000000, 0.022894, 0.137195, -0.179504, 0.000000, 0.092268, 0.015184, -0.030368, 0.000115, 0.000032, 0.011524, -0.023047, 0.000000, 0.046292, -0.002687
31, 0.000000, 0.021838, 0.136787, -0.179483, 0.000000, 0.090775, 0.015018, -0.030036, 0.000115, 0.000032, 0.011302, -0.022604, 0.000000, 0.043745, -0.002687
32, 0.000000, 0.020901, 0.136373, -0.179452, 0.000000, 0.089308, 0.014851, -0.029702, 0.000115, 0.000032, 0.011083, -0.022166, 0.000000, 0.041343, -0.002683
33, 0.000000, 0.020067, 0.135954, -0.179411, 0.000000, 0.087867, 0.014683, -0.029367, 0.000114, 0.000033, 0.010868, -0.021736, 0.000000, 0.039072, -0.002674
34, 0.000000, 0.019324, 0.135529, -0.179361, 0.000000, 0.086453, 0.014516, -0.029031, 0.000114, 0.000033, 0.010656, -0.021313, 0.000000, 0.036919, -0.002660
35, 0.000000, 0.018662, 0.135100, -0.179302, 0.000000, 0.085064, 0.014348, -0.028696, 0.000114, 0.000033, 0.010449, -0.020897, 0.000000, 0.034875, -0.002642
36, 0.000000, 0.018069, 0.134668, -0.179232, 0.000000, 0.083702, 0.014180, -0.028361, 0.000114, 0.000033, 0.010245, -0.020490, 0.000000, 0.032929, -0.002621
