TIME_STEP, acou_kinetic, dipo_kinetic, short_range, long_range, dipole_E_field, unharmonic, homo_strain, homo_coupling, homo_strain_int, homo_coupling_i, inho_strain, inho_coupling, inho_modulation, total_energy, H_Nose_Poincare
0, 0.000000, 0.000000, 0.079469, -0.000654, 0.000000, 0.146462, 0.017159, -0.034318, 0.000023, -0.000033, 0.020352, -0.040704, 0.000000, 0.187756, 0.000000
1, 0.000000, 0.000698, 0.079447, -0.000839, 0.000000, 0.145871, 0.017128, -0.034255, 0.000023, -0.000033, 0.020286, -0.040573, 0.000000, 0.187752, -0.000006
2, 0.000000, 0.002755, 0.079381, -0.001395, 0.000000, 0.144158, 0.017033, -0.034067, 0.000022, -0.000033, 0.020093, -0.040185, 0.000000, 0.187762, -0.000022
3, 0.000000, 0.006084, 0.079271, -0.002319, 0.000000, 0.141471, 0.016877, -0.033755, 0.000022, -0.000033, 0.019778, -0.039555, 0.000000, 0.187842, -0.000041
4, 0.000000, 0.010601, 0.079121, -0.003608, 0.000000, 0.137984, 0.016662, -0.033323, 0.000022, -0.000032, 0.019351, -0.038703, 0.000000, 0.188075, -0.000062
5, 0.000000, 0.016255, 0.078932, -0.005258, 0.000000, 0.133860, 0.016388, -0.032777, 0.000022, -0.000032, 0.018826, -0.037652, 0.000000, 0.188564, -0.000081
6, 0.000000, 0.023035, 0.078707, -0.007263, 0.000000, 0.129236, 0.016060, -0.032120, 0.000021, -0.000031, 0.018214, -0.036428, 0.000000, 0.189431, -0.000099
7, 0.000000, 0.030969, 0.078448, -0.009614, 0.000000, 0.124223, 0.015680, -0.031359, 0.000021, -0.000030, 0.017527, -0.035054, 0.000000, 0.190810, -0.000116
8, 0.000000, 0.040111, 0.078158, -0.012299, 0.000000, 0.118912, 0.015251, -0.030502, 0.000020, -0.000029, 0.016779, -0.033557, 0.000000, 0.192844, -0.000130
9, 0.000000, 0.050531, 0.077838, -0.015303, 0.000000, 0.113380, 0.014777, -0.029554, 0.000020, -0.000028, 0.015980, -0.031960, 0.000000, 0.195680, -0.000141
10, 0.000000, 0.062303, 0.077489, -0.018605, 0.000000, 0.107690, 0.014263, -0.028525, 0.000019, -0.000027, 0.015143, -0.030286, 0.000000, 0.199464, -0.000151
11, 0.000000, 0.075487, 0.077114, -0.022179, 0.000000, 0.101899, 0.013712, -0.027424, 0.000018, -0.000026, 0.014279, -0.028558, 0.000000, 0.204322, -0.000157
12, 0.000000, 0.090112, 0.076712, -0.025994, 0.000000, 0.096062, 0.013131, -0.026262, 0.000018, -0.000025, 0.013400, -0.026799, 0.000000, 0.210355, -0.000160
13, 0.000000, 0.106155, 0.076286, -0.030009, 0.000000, 0.090230, 0.012524, -0.025049, 0.000017, -0.000023, 0.012516, -0.025031, 0.000000, 0.217616, -0.000159
14, 0.000000, 0.123517, 0.075835, -0.034177, 0.000000, 0.084452, 0.011899, -0.023798, 0.000016, -0.000022, 0.011638, -0.023275, 0.000000, 0.226085, -0.000155
15, 0.000000, 0.141997, 0.075360, -0.038442, 0.000000, 0.078779, 0.011261, -0.022522, 0.000015, -0.000021, 0.010776, -0.021553, 0.000000, 0.235652, -0.000148
16, 0.000000, 0.161268, 0.074861, -0.042738, 0.000000, 0.073261, 0.010618, -0.021236, 0.000015, -0.000019, 0.009942, -0.019883, 0.000000, 0.246087, -0.000137
